,comments
0,你知道我要说什么
1,注入爱国基因
2,你干嘛～哎呀
3,绵羊料理：嗯（doge）
4,收藏从未停止实践从未开始
5,唯一听懂的两个字
6,BGM是吃醋
7,我好像知道他为什么会失传了
8,要选练习两年半的
9,他是不是骂了我（察觉
10,可爱捏（恼）
11,直接，妈！
12,你干嘛～哈哈～哎哟
13,贴吧梗图预定
14,贴吧梗图预定
15,卧槽，这么大一锅油。家庭厨房裂开了
16,在一声声好吃中迷失自我
17,你干嘛~哎呦~
18,需要那一种会唱跳rip篮球的，不然不香
19,你干嘛～哈哈哎哟吼吼～
20,你干嘛～
21,甜甜花酿鸡
22,鹅厂打压！
23,我寻思粤语地区的人讲粤语应该很正常啊 在这提推广普通话干什么啊
24,香啊，很香啊
25,m200?哪里有m200（雾）
26,他在试图教会我们
27,小黑子露出鸡脚了啊
28,你干嘛～哎哟吼吼～
29,你干嘛～嗨嗨呦～
30,你干嘛～
31,你干嘛～嗨嗨呦
32,哎呦～～你干嘛～～
33,你干嘛～
34,一般选择练习时长两年半，会打篮球，会唱跳rap。
35,我超，夜兰!
36,不是吃醋？
37,噔
38,原来是这样
39,世界名画合影
40,+3
41,这是现拍的吧？
42,1！5！
43,粤菜和广东人一样应该都逝去
44,合影
45,合影
46,就是说你很聪明
47,合影
48,死蠢
49,烧鸡
50,合影
51,方言警察滚啊
52,188
53,推广普通话不等于视频里必须说普通话吧
54,哈哈哈哈哈
55,要好多油 啊（为什么失传？）
56,做鸡一流
57,做鸡乐哥最专业
58,暂停
59,干哦，这么复杂
60,卧槽，这么大一锅油。家庭厨房裂开了
61,爱莉希雅！
62,爱门！
63,家庭做有些麻烦，工具也不足
64,[前方高能]
65,说藏话了
66,宽油劝退
67,合影
68,合影！
69,被河坝吓晕
70,哥哥的鸡精
71,鸡要养了两年半的才行
72,好
73,好正点啊
74,泪目
75,要来力
76,1
77,古法烧鸡
78,合影
79,可爱捏
80,《咁鬼死蠢噶》
81,合影
82,合影
83,梅开二度
84,蚌
85,合影！
86,新式用具
87,合影
88,合影
89,[前方高能]
90,口福gay
91,做鸡区up主
92,你知道我要说什么
93,甘大锅油，整甘耐，稳鬼整咩！
94,合影
95,啊，烧死我了
96,原的在线率！！！
97,泪目
98,世界名画
99,世界名画
100,合影
101,骆达华是你吗
102,要来力
103,兔女郎
104,现在是幻想时间
105,现在是幻想时间
106,现在是幻想时间
107,1！2！
108,合影
109,合影
110,合影
111,合影
112,我超 真漂亮啊
113,传世经典
114,下面我要点名一款游戏
115,合影
116,粗鲁
117,把你批缝起来
118,被河坝玩法吓晕
119,合影
120,1！2！
121,烧鸡
122,合影！
123,合影！
124,合影！
125,想吃可莉了
126,经典老菜
127,说听得懂的不看字幕试试？
128,说听得懂的不看字幕试试？
129,合影留念
130,00
131,合影！！
132,靓
133,几w人抢，什么头牌
134,韩语（确信）
135,入典！
136,合影合影
137,合影！
138,合影
139,米哈游怎么你了
140,说的什么鸟语啊
141,这油，霉菌来辣，霉菌来辣
142,你知道我要说什么
143,合影
144,合影
145,合影！！！
146,啊~~~~~
147,亚大呦
148,合影
149,合影
150,合影
151,合影
152,合影
153,烧！
154,漏出忍冬纹了吧
155,合影
156,名场面
157,清远鸡吗？
158,合影
