title,view_num,danmu,upload_time,up_author,video_url
粤菜必吃的八道家常菜，鲜香美味回味无穷,9.7万,,2023/9/8,饭饭教做菜,www.bilibili.com/video/BV1rh4y1v7MY?from=search
八大菜系 · 粤菜（合计100P）,19.4万,,2018/8/12,炸鸡桑,www.bilibili.com/video/BV15s411T7pq?from=search
广东粤菜姜葱鸡，肉嫩味美太好吃了粤菜,6.6万,,2023/2/20,樊先生美食分享美食,www.bilibili.com/video/BV1xs4y1h7uX?from=search
粤菜生蚝鸡煲，鸡肉超香，生蚝大大粒超鲜甜！天气冷就想吃煲仔菜！,84.8万,,2021/12/30,澳门厨房佬,www.bilibili.com/video/BV1tZ4y1D778?from=search
经典粤菜白灼鱿鱼，教大家切三丝，过年摆盘总要美美的。简单调味的白灼汁就能做出鲜味的鱿鱼,33.9万,,2022/1/7,澳门厨房佬,www.bilibili.com/video/BV19Y411a7Su?from=search
沙姜猪手，我称之为粤菜经典。澳门厨房佬觉得这个菜相当适合夏天,51.1万,,2022/4/12,澳门厨房佬,www.bilibili.com/video/BV1nT4y1Y7er?from=search
粤菜神仙做法，鲜嫩多汁，怎么吃都不够,1.3万,,2023/2/23,嘟嘟栗子酱,www.bilibili.com/video/BV14o4y1Y7cx?from=search
《大厨家常菜-粤菜》,5199,,2021/8/6,账号已注销,www.bilibili.com/video/BV16M4y157KU?from=search
粤菜“鱿鱼鲜虾煲”，天冷了吃上一锅热乎乎的，特幸福,30.1万,,2020/10/21,小武哥美食厨房,www.bilibili.com/video/BV1Ry4y1b7Ky?from=search
老牌粤菜酒楼-广州酒家｜真探来了,45.4万,,2021/12/29,真探来了,www.bilibili.com/video/BV1hq4y117VX?from=search
在广东鸡肉的做法有千百种，我认为最好吃的做法，就是沙姜葱油焖鸡了，又香又嫩～ #沙姜葱油鸡 #粤菜,12.3万,,2023/8/29,谁知盘中餐7,www.bilibili.com/video/BV1nj411273w?from=search
粤菜的文化,1619,,2022/5/19,中言真美爱,www.bilibili.com/video/BV18Y4y1z7Dk?from=search
【粤菜】八大菜系为首的粤菜打河基本功,1.8万,,2021/12/4,粤菜介绍,www.bilibili.com/video/BV1xq4y1z74f?from=search
广东白斩鸡，粤菜大厨教你做最正宗广东白斩鸡,7.2万,,2021/5/24,粤厨八哥,www.bilibili.com/video/BV1Eo4y117q6?from=search
吐血整理45家私藏老广粤菜，广州美食必打卡粤菜集,3.3万,,2023/9/13,大兵探店,www.bilibili.com/video/BV15k4y1w7LV?from=search
【大师的菜·干炒牛河】亚洲十大名厨亲掌勺，展现粤菜厨房克星“干炒牛河”，香气十足！,81.5万,,2019/4/23,大师的菜,www.bilibili.com/video/BV1Lb411G7BS?from=search
《粤菜密码》首发，揭秘广东菜为何如此好吃！,2241,,2021/10/24,广东卫视,www.bilibili.com/video/BV1yq4y1G7Bu?from=search
【粤菜】中国八大菜系之粤菜，粤菜十大代表菜上集，喜欢粤菜的朋友，看过来,7359,,2021/10/2,粤菜介绍,www.bilibili.com/video/BV1oL411W7gb?from=search
【粤菜】如果你来广东，这道广东特色菜，芥蓝炒牛肉是值得一吃的,3.1万,,2021/11/24,粤菜介绍,www.bilibili.com/video/BV1RR4y1x7Aa?from=search
一次性解锁三种粤式青菜的做法！蚝油生菜|豆豉鲮鱼油麦菜|上汤菠菜,63.5万,,2022/11/15,麦子小满kitchen,www.bilibili.com/video/BV14P4y1178z?from=search
菜谱-粤菜100道,1657,,2020/6/20,PQup,www.bilibili.com/video/BV1hK411n7pX?from=search
一次性解锁三种粤式青菜的做法！蚝油生菜|豆豉鲮鱼油麦菜|上汤菠菜,63.5万,,2022/11/15,麦子小满kitchen,www.bilibili.com/video/BV14P4y1178z?from=search
澳门厨房佬粤菜豉油鸡，酱香浓郁，满屋飘香！粉丝点菜！广东名菜！,47.7万,,2021/7/18,澳门厨房佬,www.bilibili.com/video/BV1Hf4y157xt?from=search
能代表粤菜的蔬菜做法，盐水菜心算一个。,1.2万,,2022/8/15,光头师傅美食,www.bilibili.com/video/BV1ue4y1f7qQ?from=search
粤菜五柳炸蛋：外焦里嫩，看着都香，酸甜开胃又营养，好吃不油腻,6.4万,,2020/7/26,我是马小坏,www.bilibili.com/video/BV1YK411J7eH?from=search
